lenacs,dataset,classifier,experiment,result
3,15scenes_bow_soft_max_1000,ocsvmC,1,0.419316725487
3,15scenes_bow_soft_max_1000,ocsvmC,2,0.389318927699
3,15scenes_bow_soft_max_1000,ocsvmC,3,0.402339975007
3,15scenes_bow_soft_max_1000,ocsvmC,4,0.52054975207
3,15scenes_bow_soft_max_1000,ocsvmC,5,0.485137101159
3,15scenes_bow_soft_max_1000,ocsvmC,6,0.297477175044
3,15scenes_bow_soft_max_1000,ocsvmC,7,0.30962075358
3,15scenes_bow_soft_max_1000,ocsvmC,8,0.410953543938
3,15scenes_bow_soft_max_1000,ocsvmC,9,0.337692055883
3,15scenes_bow_soft_max_1000,ocsvmC,10,0.389741701705
3,15scenes_bow_soft_max_1000,ocsvmO,1,0.419316725487
3,15scenes_bow_soft_max_1000,ocsvmO,2,0.283659002252
3,15scenes_bow_soft_max_1000,ocsvmO,3,0.402339975007
3,15scenes_bow_soft_max_1000,ocsvmO,4,0.519911937161
3,15scenes_bow_soft_max_1000,ocsvmO,5,0.485137101159
3,15scenes_bow_soft_max_1000,ocsvmO,6,0.297477175044
3,15scenes_bow_soft_max_1000,ocsvmO,7,0.30962075358
3,15scenes_bow_soft_max_1000,ocsvmO,8,0.410953543938
3,15scenes_bow_soft_max_1000,ocsvmO,9,0.337692055883
3,15scenes_bow_soft_max_1000,ocsvmO,10,0.389741701705
3,15scenes_bow_soft_max_1000,ssvmC,1,0.274599039137
3,15scenes_bow_soft_max_1000,ssvmC,2,0.344486350006
3,15scenes_bow_soft_max_1000,ssvmC,3,0.317145393969
3,15scenes_bow_soft_max_1000,ssvmC,4,0.403354730435
3,15scenes_bow_soft_max_1000,ssvmC,5,0.42398388155
3,15scenes_bow_soft_max_1000,ssvmC,6,0.255541349469
3,15scenes_bow_soft_max_1000,ssvmC,7,0.227769833766
3,15scenes_bow_soft_max_1000,ssvmC,8,0.466448311991
3,15scenes_bow_soft_max_1000,ssvmC,9,0.250446292463
3,15scenes_bow_soft_max_1000,ssvmC,10,0.384852489149
3,15scenes_bow_soft_max_1000,ssvmO,1,0.225875944568
3,15scenes_bow_soft_max_1000,ssvmO,2,0.376137232409
3,15scenes_bow_soft_max_1000,ssvmO,3,0.378775826703
3,15scenes_bow_soft_max_1000,ssvmO,4,0.591628720235
3,15scenes_bow_soft_max_1000,ssvmO,5,0.542277666451
3,15scenes_bow_soft_max_1000,ssvmO,6,0.18218022848
3,15scenes_bow_soft_max_1000,ssvmO,7,0.514331075603
3,15scenes_bow_soft_max_1000,ssvmO,8,0.293751055433
3,15scenes_bow_soft_max_1000,ssvmO,9,0.385155659414
3,15scenes_bow_soft_max_1000,ssvmO,10,0.419483158062
3,15scenes_bow_soft_max_1000,svddC,1,0.400933851773
3,15scenes_bow_soft_max_1000,svddC,2,0.325007584627
3,15scenes_bow_soft_max_1000,svddC,3,0.350718012835
3,15scenes_bow_soft_max_1000,svddC,4,0.551186191496
3,15scenes_bow_soft_max_1000,svddC,5,0.501384588356
3,15scenes_bow_soft_max_1000,svddC,6,0.274836711037
3,15scenes_bow_soft_max_1000,svddC,7,0.296134292024
3,15scenes_bow_soft_max_1000,svddC,8,0.354682622149
3,15scenes_bow_soft_max_1000,svddC,9,0.199487900496
3,15scenes_bow_soft_max_1000,svddC,10,0.271583169098
3,15scenes_bow_soft_max_1000,svddO,1,0.00542005420054
3,15scenes_bow_soft_max_1000,svddO,2,0.00394477317554
3,15scenes_bow_soft_max_1000,svddO,3,0.0
3,15scenes_bow_soft_max_1000,svddO,4,0.0
3,15scenes_bow_soft_max_1000,svddO,5,0.0
3,15scenes_bow_soft_max_1000,svddO,6,0.0
3,15scenes_bow_soft_max_1000,svddO,7,0.0
3,15scenes_bow_soft_max_1000,svddO,8,0.0243902439024
3,15scenes_bow_soft_max_1000,svddO,9,0.0134425465339
3,15scenes_bow_soft_max_1000,svddO,10,0.0161834913072
3,15scenes_bow_soft_max_1000,svmC,1,0.259978403698
3,15scenes_bow_soft_max_1000,svmC,2,0.295110876939
3,15scenes_bow_soft_max_1000,svmC,3,0.294176223879
3,15scenes_bow_soft_max_1000,svmC,4,0.315261212933
3,15scenes_bow_soft_max_1000,svmC,5,0.23702922809
3,15scenes_bow_soft_max_1000,svmC,6,0.238958369454
3,15scenes_bow_soft_max_1000,svmC,7,0.22648488497
3,15scenes_bow_soft_max_1000,svmC,8,0.384887256626
3,15scenes_bow_soft_max_1000,svmC,9,0.218173206115
3,15scenes_bow_soft_max_1000,svmC,10,0.273961806162
3,15scenes_bow_soft_max_1000,svmO,1,0.251227400854
3,15scenes_bow_soft_max_1000,svmO,2,0.295110876939
3,15scenes_bow_soft_max_1000,svmO,3,0.309917984063
3,15scenes_bow_soft_max_1000,svmO,4,0.315261212933
3,15scenes_bow_soft_max_1000,svmO,5,0.23702922809
3,15scenes_bow_soft_max_1000,svmO,6,0.194053283625
3,15scenes_bow_soft_max_1000,svmO,7,0.227410737029
3,15scenes_bow_soft_max_1000,svmO,8,0.102030505968
3,15scenes_bow_soft_max_1000,svmO,9,0.138370185648
3,15scenes_bow_soft_max_1000,svmO,10,0.129405791976
3,15scenes_bow_soft_max_1000,svmdbcC,1,0.23943332718
3,15scenes_bow_soft_max_1000,svmdbcC,2,0.297798717487
3,15scenes_bow_soft_max_1000,svmdbcC,3,0.309353069924
3,15scenes_bow_soft_max_1000,svmdbcC,4,0.361460277657
3,15scenes_bow_soft_max_1000,svmdbcC,5,0.27651255098
3,15scenes_bow_soft_max_1000,svmdbcC,6,0.209666132341
3,15scenes_bow_soft_max_1000,svmdbcC,7,0.255174388755
3,15scenes_bow_soft_max_1000,svmdbcC,8,0.333383695439
3,15scenes_bow_soft_max_1000,svmdbcC,9,0.181129876333
3,15scenes_bow_soft_max_1000,svmdbcC,10,0.189605448259
3,15scenes_bow_soft_max_1000,svmdbcO,1,0.453854263604
3,15scenes_bow_soft_max_1000,svmdbcO,2,0.137734147915
3,15scenes_bow_soft_max_1000,svmdbcO,3,0.49229767265
3,15scenes_bow_soft_max_1000,svmdbcO,4,0.431828253797
3,15scenes_bow_soft_max_1000,svmdbcO,5,0.193219308451
3,15scenes_bow_soft_max_1000,svmdbcO,6,0.20131631288
3,15scenes_bow_soft_max_1000,svmdbcO,7,0.320635163519
3,15scenes_bow_soft_max_1000,svmdbcO,8,0.506147872641
3,15scenes_bow_soft_max_1000,svmdbcO,9,0.217527312166
3,15scenes_bow_soft_max_1000,svmdbcO,10,0.453319648487
3,15scenes_bow_soft_max_1000,pisvmC,1,0.198668084779
3,15scenes_bow_soft_max_1000,pisvmC,2,0.333164311387
3,15scenes_bow_soft_max_1000,pisvmC,3,0.229021805181
3,15scenes_bow_soft_max_1000,pisvmC,4,0.215745168906
3,15scenes_bow_soft_max_1000,pisvmC,5,0.206006793136
3,15scenes_bow_soft_max_1000,pisvmC,6,0.227116397239
3,15scenes_bow_soft_max_1000,pisvmC,7,0.231615786032
3,15scenes_bow_soft_max_1000,pisvmC,8,0.268853744817
3,15scenes_bow_soft_max_1000,pisvmC,9,0.172869818065
3,15scenes_bow_soft_max_1000,pisvmC,10,0.154857339933
3,15scenes_bow_soft_max_1000,pisvmO,1,0.476945338342
3,15scenes_bow_soft_max_1000,pisvmO,2,0.252352546237
3,15scenes_bow_soft_max_1000,pisvmO,3,0.461996044973
3,15scenes_bow_soft_max_1000,pisvmO,4,0.425370202059
3,15scenes_bow_soft_max_1000,pisvmO,5,0.0
3,15scenes_bow_soft_max_1000,pisvmO,6,0.30995173479
3,15scenes_bow_soft_max_1000,pisvmO,7,0.300706409353
3,15scenes_bow_soft_max_1000,pisvmO,8,0.334192515699
3,15scenes_bow_soft_max_1000,pisvmO,9,0.206306852161
3,15scenes_bow_soft_max_1000,pisvmO,10,0.194064611677
3,15scenes_bow_soft_max_1000,onevsetC,1,0.155807848898
3,15scenes_bow_soft_max_1000,onevsetC,2,0.155234887896
3,15scenes_bow_soft_max_1000,onevsetC,3,0.223903604037
3,15scenes_bow_soft_max_1000,onevsetC,4,0.200686740352
3,15scenes_bow_soft_max_1000,onevsetC,5,0.21078400675
3,15scenes_bow_soft_max_1000,onevsetC,6,0.221745852075
